system,vendor,chips,chip_type,bf16_dense_pflops,fp8_dense_pflops,fp4_dense_pflops,hbm_tb,hbm_bw_tbs,scaleup_bw_tbs,power_kw,price_usd,confidence,note
HGX H100 (8-GPU),NVIDIA,8,H100,7.9,15.8,,0.64,26.8,7.2,10,285000,estimate,Baseline 2023 training node; TP limited to 8 GPUs
HGX B200 (8-GPU),NVIDIA,8,B200 HGX,18.0,36.0,72.0,1.44,61.6,14.4,15,390000,estimate,
GB200 NVL72,NVIDIA,72,B200 NVL72,180.0,360.0,720.0,13.4,576.0,130.0,132,3100000,estimate,72-GPU coherent NVLink domain; 36 Grace CPUs
GB300 NVL72,NVIDIA,72,B300 NVL72,180.0,360.0,1080.0,20.0,576.0,130.0,140,3700000,estimate,1.5x FP4 of GB200; 12-Hi HBM3e
Vera Rubin NVL72,NVIDIA,72,Rubin R100,288.0,1260.0,2520.0,20.7,1580.0,260.0,,,unknown,HBM4 at 22 TB/s per GPU; NVLink 6
AMD Helios (MI455X),AMD,72,MI455X,362.0,1400.0,2900.0,31.0,1700.0,260.0,130,,unknown,OCP Open Rack Wide; UALink-over-Ethernet; 18 EPYC Venice CPUs
TPU v7 Ironwood pod,Google,9216,TPU v7,21300.0,42500.0,,1770.0,68000.0,,10000,,confirmed,9216-chip superpod; OCS-reconfigurable 3D torus; 1.77PB shared HBM
TPU 8t pod,Google,9600,TPU 8t,,,121000.0,2074.0,62700.0,,,,estimate,Native FP4; Virgo fabric scales past 134k chips
Trainium3 Gen2 UltraServer,AWS,144,Trainium3,96.6,362.4,362.4,20.7,705.6,,,,confirmed,Single 144-chip scale-up domain via NeuronSwitch
Huawei CloudMatrix 384,Huawei,384,Ascend 910C,300.0,,,49.2,,,559,,estimate,No native FP8; ~2x NVL72 compute at ~4x the power
Cerebras CS-4 (3 wafers),Cerebras,3,WSE-3 Turbo,,,,0.132,129600.0,,130,,estimate,750 PFLOPS figure is sparse FP16; SRAM-only memory
NVIDIA LPX (Groq 3),NVIDIA,256,Groq 3,,315.0,,0.128,40000.0,640.0,,,estimate,SRAM-only decode rack paired with a Vera Rubin NVL72
