provider,region_id,label,city,country,lat,lon,coord_precision,accelerators,detail,status,sources
Google Cloud,us-central1,Iowa,Council Bluffs,United States,41.2588,-95.8519,city,Google TPU,TPU v7 Ironwood + v6e + v5p + v5e + v3,operating,https://cloud.google.com/tpu/docs/regions-zones
Google Cloud,us-central1-ai1a,Iowa AI zone,Lincoln,United States,40.8089,-96.7078,city,Google TPU,TPU v7 Ironwood primary zone (physically in Nebraska),operating,https://cloud.google.com/compute/docs/regions-zones/ai-zones
Google Cloud,us-central2,Oklahoma,Pryor Creek,United States,36.3084,-95.3169,city,Google TPU,TPU v4 only,operating,https://cloud.google.com/tpu/pricing
Google Cloud,us-east1,South Carolina,Moncks Corner,United States,33.196,-80.0131,city,Google TPU,TPU v6e + v5p,operating,https://cloud.google.com/tpu/pricing
Google Cloud,us-east5,Columbus,Columbus,United States,39.9623,-83.0007,city,Google TPU,TPU v6e + v5p + v5e,operating,https://cloud.google.com/tpu/docs/regions-zones
Google Cloud,us-south1,Dallas,Dallas,United States,32.7763,-96.7969,city,Google TPU,TPU v5e,operating,https://cloud.google.com/tpu/pricing
Google Cloud,us-south1-ai1b,Dallas AI zone,Austin,United States,30.2711,-97.7437,city,Google TPU,TPU v6e Trillium (physically in Austin),operating,https://cloud.google.com/compute/docs/regions-zones/ai-zones
Google Cloud,us-west1,Oregon,The Dalles,United States,45.6015,-121.1842,city,Google TPU,TPU v5e,operating,https://cloud.google.com/tpu/pricing
Google Cloud,us-west4,Las Vegas,Las Vegas,United States,36.1674,-115.1484,city,Google TPU,TPU v5e,operating,https://cloud.google.com/tpu/pricing
Google Cloud,europe-west1,Belgium,Saint-Ghislain,Belgium,50.4477,3.8195,city,Google TPU,TPU v5e,operating,https://cloud.google.com/tpu/pricing
Google Cloud,europe-west2,London,London,United Kingdom,51.5074,-0.1278,city,Google TPU,TPU v7 Ironwood (priced; no public zone listed),operating,https://cloud.google.com/tpu/pricing
Google Cloud,europe-west4,Netherlands,Eemshaven,Netherlands,53.4484,6.8465,city,Google TPU,TPU v6e + v5p + v5e + v3,operating,https://cloud.google.com/tpu/docs/regions-zones
Google Cloud,asia-east1,Taiwan,Changhua County,Taiwan,24.0756,120.5445,city,Google TPU,TPU v2 legacy only,operating,https://cloud.google.com/tpu/pricing
Google Cloud,asia-northeast1,Tokyo,Tokyo,Japan,35.6769,139.7639,city,Google TPU,TPU v6e Trillium,operating,https://cloud.google.com/tpu/docs/regions-zones
Google Cloud,asia-southeast1,Singapore,Jurong West,Singapore,1.3416,103.7049,city,Google TPU,TPU v5e,operating,https://cloud.google.com/tpu/pricing
Google Cloud,southamerica-west1,Santiago,Santiago,Chile,-33.4377,-70.6511,city,Google TPU,TPU v6e Trillium (only TPU region in the Southern Hemisphere),operating,https://cloud.google.com/tpu/docs/regions-zones
Google Cloud,europe-west4-ai1a,Netherlands AI zone,Den Helder,Netherlands,52.9135,4.7946,city,NVIDIA GPU,RTX PRO 6000 (G4) today; AI-zone capacity expanding,operating,https://cloud.google.com/compute/docs/regions-zones/ai-zones
Google Cloud,us-east4,Ashburn,Ashburn,United States,39.0298,-77.4744,city,NVIDIA GPU,GB300 Ultra (A4X Max) + GB200 + B200 + H200,operating,https://cloud.google.com/compute/docs/gpus/gpu-regions-zones
Google Cloud,europe-north1,Finland,Hamina,Finland,60.5683,27.1926,city,NVIDIA GPU,B200 (A4) + G4,operating,https://cloud.google.com/compute/docs/gpus/gpu-regions-zones
Google Cloud,asia-south1,Mumbai,Mumbai,India,19.055,72.8692,city,NVIDIA GPU,H200 (A3 Ultra),operating,https://cloud.google.com/compute/docs/gpus/gpu-regions-zones
Google Cloud,asia-south2,Delhi,New Delhi,India,28.6665,77.217,city,NVIDIA GPU,H200 (A3 Ultra),operating,https://cloud.google.com/compute/docs/gpus/gpu-regions-zones
AWS,us-east-1,N. Virginia,Ashburn,United States,39.0298,-77.4744,city,AWS Trainium,trn1 + trn1n + inf2; B200/B300 GPU,operating,https://repost.aws/articles/ARmXIF-XS3RO27p0Pd1dVZXQ
AWS,us-east-2,Ohio,Columbus,United States,39.9623,-83.0007,city,AWS Trainium,trn2 (only region with public trn2 on-demand) + trn1 + inf2,operating,https://repost.aws/articles/ARmXIF-XS3RO27p0Pd1dVZXQ
AWS,us-west-2,Oregon,Boardman,United States,45.8399,-119.7006,city,AWS Trainium,trn1 + trn1n + inf2; B200/B300 GPU,operating,https://repost.aws/articles/ARmXIF-XS3RO27p0Pd1dVZXQ
